"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: при авторизации под существующим пользователем, возвращается 200","1227","Тест получения кода 200, при авторизации текущего пользователя","tests","Fri Aug 01 15:24:21 GMT 2025","passed","Fri Aug 01 15:24:22 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'en'}","950","Тест получения кода 200 после изменения языковых настроек","tests","Fri Aug 01 15:24:31 GMT 2025","passed","Fri Aug 01 15:24:32 GMT 2025","TestUpdate","test_update_data","",""
"Проверка, что при запросе c неверным паролем получим текст ошибки","599","Тест получения текста ошибки при вводе неверного пароля","tests","Fri Aug 01 15:24:26 GMT 2025","passed","Fri Aug 01 15:24:27 GMT 2025","TestLogin","test_login","",""
"Проверка, что при запросе c несуществущим логином получим текст ошибки","1122","Тест получения текста ошибки при вводе неверного логина","tests","Fri Aug 01 15:24:25 GMT 2025","passed","Fri Aug 01 15:24:26 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","1037","Тест получения кода 200 после изменения языковых настроек","tests","Fri Aug 01 15:24:30 GMT 2025","passed","Fri Aug 01 15:24:31 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': {'1ec6bA'}, 'time_zone': {'Etc/GMT+11'}, 'sip_number': {'948'}, 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","826","Тест получения кода 200 при изменении имени пользователя","tests","Fri Aug 01 15:24:28 GMT 2025","passed","Fri Aug 01 15:24:29 GMT 2025","TestUpdate","test_update_data","",""
"Проверка: при неверной почте возвращается ошибка 401","607","Тест получения кода 401 при неверной почте","tests","Fri Aug 01 15:24:24 GMT 2025","passed","Fri Aug 01 15:24:25 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'pt'}","965","Тест получения кода 200 после изменения языковых настроек","tests","Fri Aug 01 15:24:33 GMT 2025","passed","Fri Aug 01 15:24:34 GMT 2025","TestUpdate","test_update_data","",""
"Проверка: при неверном пароле возвращается ошибка 401","967","Тест получения кода 401 при неверном пароле","tests","Fri Aug 01 15:24:23 GMT 2025","passed","Fri Aug 01 15:24:24 GMT 2025","TestLogin","test_login","",""
"Проверка, что авторизация успешна и возвращается токен","1127","Тест получения токена при успешной авторизации","tests","Fri Aug 01 15:24:22 GMT 2025","passed","Fri Aug 01 15:24:23 GMT 2025","TestLogin","test_login","",""
"Проверка: После авторизации возвращаемое значение ключа 'token' не пустое","610","Тест получения значения ключа 'token' после авторизации","tests","Fri Aug 01 15:24:23 GMT 2025","passed","Fri Aug 01 15:24:23 GMT 2025","TestLogin","test_login","",""
