"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: при авторизации под существующим пользователем, возвращается 200","1370","Тест получения кода 200, при авторизации текущего пользователя","tests","Mon Aug 04 15:46:55 GMT 2025","passed","Mon Aug 04 15:46:57 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","1072","Тест получения кода 200 после изменения языковых настроек","tests","Mon Aug 04 15:47:06 GMT 2025","passed","Mon Aug 04 15:47:07 GMT 2025","TestUpdate","test_update_data","",""
"Проверка, что авторизация успешна и возвращается токен","1179","Тест получения токена при успешной авторизации","tests","Mon Aug 04 15:46:57 GMT 2025","passed","Mon Aug 04 15:46:58 GMT 2025","TestLogin","test_login","",""
"Проверка: при неверном пароле возвращается ошибка 401","991","Тест получения кода 401 при неверном пароле","tests","Mon Aug 04 15:46:59 GMT 2025","passed","Mon Aug 04 15:47:00 GMT 2025","TestLogin","test_login","",""
"Проверка: После авторизации возвращаемое значение ключа 'token' не пустое","1367","Тест получения значения ключа 'token' после авторизации","tests","Mon Aug 04 15:46:58 GMT 2025","passed","Mon Aug 04 15:46:59 GMT 2025","TestLogin","test_login","",""
"Проверка: при неверной почте возвращается ошибка 401","783","Тест получения кода 401 при неверной почте","tests","Mon Aug 04 15:47:00 GMT 2025","passed","Mon Aug 04 15:47:01 GMT 2025","TestLogin","test_login","",""
"Проверка, что при запросе c неверным паролем получим текст ошибки","798","Тест получения текста ошибки при вводе неверного пароля","tests","Mon Aug 04 15:47:02 GMT 2025","passed","Mon Aug 04 15:47:03 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'en'}","1295","Тест получения кода 200 после изменения языковых настроек","tests","Mon Aug 04 15:47:09 GMT 2025","passed","Mon Aug 04 15:47:10 GMT 2025","TestUpdate","test_update_data","",""
"Request body: {'name': 'IVAN Ivanov', 'time_zone': 'Europe/Moscow', 'sip_number': '123', 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'pt'}","628","Тест получения кода 200 после изменения языковых настроек","tests","Mon Aug 04 15:47:11 GMT 2025","passed","Mon Aug 04 15:47:11 GMT 2025","TestUpdate","test_update_data","",""
"Проверка, что при запросе c несуществущим логином получим текст ошибки","1359","Тест получения текста ошибки при вводе неверного логина","tests","Mon Aug 04 15:47:01 GMT 2025","passed","Mon Aug 04 15:47:02 GMT 2025","TestLogin","test_login","",""
"Request body: {'name': {'6B4E41'}, 'time_zone': {'Europe/Kiev'}, 'sip_number': {'432'}, 'sip_extension': '22344', 'events_view_type': 1, 'locale': 'ru'}","702","Тест получения кода 200 при изменении имени пользователя","tests","Mon Aug 04 15:47:05 GMT 2025","passed","Mon Aug 04 15:47:05 GMT 2025","TestUpdate","test_update_data","",""
